id,title,abstract,label
8911,Zzyzx: Scalable fault tolerance through Byzantine locking,"Zzyzx is a Byzantine fault-tolerant replicated state machine protocol that outperforms prior approaches and provides near-linear throughput scaling. Using a new technique called Byzantine Locking, Zzyzx allows a client to extract state from an underlying replicated state machine and access it via a second protocol specialized for use by a single client. This second protocol requires just one round-trip and 2 f + 1 responsive servers-compared to Zyzzyva, this results in 39-43% lower response times and a factor of 2.2-2.9 higher throughput. Furthermore, the extracted state can be transferred to other servers, allowing non-overlapping sets of servers to manage different state. Thus, Zzyzx allows throughput to be scaled by adding servers when concurrent data sharing is not common. When data sharing is common, performance can match that of the underlying replicated state machine protocol.",no
8910,A redundant nested invocation suppression mechanism for active replication fault-tolerant Web service,"Zwass suggested that middleware and message service is one of the five fundamental technologies used to realize electronic commerce (EC) [Zwass, V. (1996)]. The simple object access protocol (SOAP) is recognized as a more promising middleware for EC applications among other leading candidates such as CORBA. We notice that the fault-tolerance issue is somewhat neglected in the current standard, i.e., SOAP 1.1. We therefore proposed a fault tolerant Web service called fault-tolerant SOAP or FT-SOAP through which Web services can be built with higher resilience to failure. Active replication is a common approach to building highly available and reliable distributed software applications. The redundant nested invocation (RNI) problem arises when servers in a replicated group issues nested invocations to other server groups in response to a client invocation. In this work, we propose a mechanism to perform auto-suppression of redundant nested invocation in an active replication FT-SOAP system. Our approach ensures the portability requirement of a middleware, especially for FT-SOAP.",no
8909,Fault tolerant Web service,"Zwass (1996) suggested that middleware and message service is one of the five fundamental technologies used to realize electronic commerce (EC). The simple object access protocol (SOAP) is recognized as a more promising middleware for EC applications among other leading candidates such as CORBA. Many recent polls reveal however that security and reliability issues are major concerns that discourage people from engaging in EC transactions. We notice that the fault-tolerance issue is somewhat neglected in the current standard, i.e., SOAP 1.1. We therefore propose a fault tolerant Web service called fault-tolerant SOAP or FT-SOAP through which Web services can be built with higher resilience to failure. FT-SOAP is based on our previous experience with an object fault tolerant service (OFS) [Liang, D. et al., (1999)] and OMG's fault tolerant CORBA (FT-CORBA). There are many architectural differences between SOAP and CORBA. One of the major contributions of this work is to discuss the impact on FT-SOAP design due to these architectural differences. Our experience shows that Web services built on a SOAP framework enjoy higher flexibility as opposed to those built on CORBA. We also point out the limitations of the current feature sets of SOAP 1.1. We believe our experience is valuable not only to the fault-tolerance community, but also to other communities as well, in particular, to those who are familiar with the CORBA platform.",no
8908,"Problems with Precision: A Response to ""Comments on 'Data Mining Static Code Attributes to Learn Defect Predictors'""","Zhang and Zhang argue that predictors are useless unless they have high precison&recall. We have a different view, for two reasons. First, for SE data sets with large neg/pos ratios, it is often required to lower precision to achieve higher recall. Second, there are many domains where low precision detectors are useful.",no
8907,Polarization Rotation Correction in Radiometry: An Error Analysis,"Yueh proposed a method of using the third Stokes parameter T<sub>U</sub> to correct brightness temperatures such as T<sub>v</sub> and T<sub>h</sub> for polarization rotation. This paper presents an extended error analysis of the estimation of T<sub>v</sub>, T<sub>h</sub>, and T<sub>Q</sub> equiv T<sub>v</sub> - T<sub>h</sub> by Yueh's method. In order to carry out the analysis, we first develop a forward model of polarization rotation that accounts for the random nature of thermal radiation, receiver noise, and (to first order) calibration. Analytic formulas are then derived for the bias, standard deviation (STD), and root-mean-square error (RMSE) of estimated T<sub>Q</sub>, T<sub>v</sub>, and T<sub>h</sub>, as functions of scene and radiometer parameters. These formulas are validated through independent calculation via Monte Carlo simulation. Examination of the formulas reveals that: 1) natural T<sub>U</sub> from planetary surface radiation, of the magnitude expected on Earth at L-band, has a negligible effect on correction for polarization rotation; 2) RMSE is a function of rotation angle Omega, but the value of Omega that minimizes RMSE is not known prior to instrument fabrication; and 3) if residual calibration errors can be sufficiently reduced via postlaunch calibration, then Yueh's method reduces the error incurred by polarization rotation to negligibility.",no
8906,A cache-defect-aware code placement algorithm for improving the performance of processors,"Yield improvement through exploiting fault-free sections of defective chips is a well-known technique (Koren and Singh (1990) and Stapper et al. (1980)). The idea is to partition the circuitry of a chip in a way that fault-free sections can function independently. Many fault tolerant techniques for improving the yield of processors with a cache memory have been proposed. In this paper, we propose a defect-aware code placement technique which offsets the performance degradation of a processor with a defective cache memory. To the best of our knowledge, this is the first compiler-based technique which offsets the performance degradation due to cache defects. Experiments demonstrate that the technique can compensate the performance degradation even when 5% of cache lines are faulty. In some cases the technique was able to offset the impact even in presence of 25% faulty cache-lines.",no
8905,Offline analysis techniques for the improvement of defect inspection recipes,"Yield enhancement techniques for the latest generation of devices need sensitive inspection recipes in order to detect the ever-smaller defects that can result in yield loss. Offline analysis techniques (using MATLAB, for example) for the improvement of bright-field defect-inspection tool recipes are presented. Simple techniques are given for the rapid incorporation or modification of care-areas/don't-care areas into pre-existing recipes. Postprocessing analyses of defect data are presented to show their efficacy in improving the signal-to-noise ratio for defects that might otherwise be hidden in the noise created by 'nuisance' defects. Examples are presented to show how design-databases and reticle inspection data can be harnessed in understanding defect mechanisms.",no
8904,A neural-network approach to recognize defect spatial pattern in semiconductor fabrication,"Yield enhancement in semiconductor fabrication is important. Even though IC yield loss may be attributed to many problems, the existence of defects on the wafer is one of the main causes. When the defects on the wafer form spatial patterns, it is usually a clue for the identification of equipment problems or process variations. This research intends to develop an intelligent system, which will recognize defect spatial patterns to aid in the diagnosis of failure causes. The neural-network architecture named adaptive resonance theory network 1 (ART1) was adopted for this purpose. Actual data obtained from a semiconductor manufacturing company in Taiwan were used in experiments with the proposed system. Comparison between ART1 and another unsupervised neural network, self-organizing map (SOM), was also conducted. The results show that ART1 architecture can recognize the similar defect spatial patterns more easily and correctly",no
8903,Improving Automatic Detection of Defects in Castings by Applying Wavelet Technique,"X-ray-based inspection systems are a well-accepted technique for identification and evaluation of internal defects in castings, such as cracks, porosities, and foreign inclusions. In this paper, some images showing typical internal defects in the castings derived from an X-ray inspection system are processed by some traditional methods and wavelet technique in order to facilitate automatic detection of these internal defects. An X-ray inspection system used to detect the internal defects of castings and the typical internal casting defects is first addressed. Second, the second-order derivative and morphology operations, the row-by-row adaptive thresholding, and the two-dimensional (2-D) wavelet transform methods are described as potentially useful processing techniques. The first method can effectively detect air-holes and foreign-inclusion defects, and the second one can be suitable for detecting shrinkage cavities. Wavelet techniques, however, can effectively detect the three typical defects with a selected wavelet base and multiresolution levels. Results indicate that 2-D wavelet transform is a powerful method to analyze images derived from X-ray inspection for automatically detecting typical internal defects in the casting",no
8902,Comparison of different ANN techniques for automatic defect detection in X-Ray images,"X-ray imaging is extensively used in the NDT. In the conventional method, interpretation of the large number of radiographs for defect detection and evaluation is carried out manually by operator or expert, which makes the system subjective. Also interpretation of large number of images is tedious and may lead to misinterpretation. Automation of Non-Destructive evaluation techniques is gaining greater relevance but automatic analysis of X-Ray images is still a complex problem, as the images are noisy, low contrast with a number of artifacts. ANN's are systems which can be trained to analyze input data based on conditions provided to derive required output. This makes the system automatic reducing the subjective interference in analysis of data. Artificial neural network based systems are thus a feasible solution to this problem of X-Ray NDT. Due to complex nature of input images and noise present, Noise removal becomes a problem in X-Ray images. Preprocessing techniques based on statistical analysis have shown improvement in image noise reduction. Pixels/group of pixels, which deviate from the general structural pattern and grey scale distribution are located. The statistically processed pixel values are used to obtain the features vector from defective as well as from non-defective areas. Software for pre-processing and analyzing NDT images has been developed. Software allows user to train neural networks for defect detection. Once trained satisfactorily, the software scans the new input image and uses the trained ANN for defect detection. The final image with defect regions marked will be displayed. This system can be used to obtain the probable defective areas in a given input image. This paper presents performance of MLP and RBF for detection of defect. The effect of different types of input viz. template and moments on performance of ANN is discussed.",no
8901,Empirical cupping correction for CT scanners with tube voltage modulation (ECCU),"X-ray CT measures the attenuation of polychromatic x-rays through an object of interest. The CT data aquired are the negative logarithm of the relative x- ray intensity behind the patient. These data must undergo water precorrection to linearize the measured data and convert them into line integrals through the patient that can be reconstructed to yield the final CT image. The function to linearize the measured projection data depends on the tube voltage U. In most circumstances, CT scans are carried out with a constant tube voltage. For those cases there are dozens of different techniques to carry out water precor-rection. In our case the tube voltage is rather modulated as a function of the object. We propose an empirical cupping correction (ECCU) algorithm to correct for CT cupping artifacts that are induced by non-linearities in the projection data. The method is rawdata-based, empirical and does neither require knowledge of the x-ray spectrum nor of the attenuation coefficients. It aims at linearizing the attenuation data using a precorrection function of polynomial form in the polychromatic attenuation data q and in the tube voltage U. The coefficients of the polynomial are determined once using a calibration scan of a homogeneous phantom. Computing the coefficients is done in image domain by fitting a series of basis images to a template image. The template image is obtained directly from the uncorrected phantom image and no assumptions on the phantom size or of its positioning are made. Rawdata are precorrected by passing them through the once-determined polynomial. Numerical examples are shown to demonstrate the quality of the precorrection. ECCU achieves to remove the cupping artifacts and to obtain well-calibrated CT-values. A combination of ECCU with analytical techniques yielding a hybrid cupping correction method is possible and allows for channel-dependent correction functions.",no
8900,Detection and Classification of Wood Defects by ANN,"X-ray as a method of measurement was adopted to detect wood defects nondestructively. Due to the intensity of x-ray that crosses the object changes, defects in wood were detected by the difference of X-ray absorption parameter, and therefore it used computer to process and analyze the image. On the basis of image processing of nondestructive testing and characteristic construction, defects mathematic model were established by using characteristic parameters. According to signal characters of nondestructive testing, artificial neural networks were set up. Meanwhile, adopt BP networks model to recognize all characteristic parameters, which reflected characters of wood defects. BP networks used coefficient matrix of each unit, including input layer, intermediate layer (concealed layer) and output layer, to get the model of input vector and finish networks recognition through the networks learning. The test results show that the method is very successful for detection and classification of wood defects",no
8899,Applying transformation-based error-driven learning to structured natural language queries,"XML information retrieval (XML-IR) systems aim to provide users with highly exhaustive and highly specific results. To interact with XML-IR systems, users must express both their content and structural requirement, in the form of a structured query. Traditionally, these structured queries have been formatted using formal languages such as XPath or NEXI. Unfortunately, formal query languages are very complex and too difficult to be used by experienced, let alone casual users. Therefore, recent research has investigated the idea of specifying users' content and structural needs via natural language queries (NLQs). In previous research we developed NLPX, a natural language interface to an XML-IR system. Here we present additions we have made to NLPX. The additions involve the application of transformation-based error-driven learning (TBL) to structured NLQs, to derive special connotations and group words into an atomic unit of information. TBL has successfully been applied to other areas of natural language processing; however, this paper presents the first time it has been applied to structured NLQs. Here, we investigate the applicability of TBL to NLQs and compare the TBL-based system, with our previous system and a system with a formal language interference. Our results show that TBL is effective for structured NLQs, and that structured NLQs a viable interface tor XML-IR systems",no
8898,The implementation of a COTS based fault tolerant avionics bus architecture,"X2000 is a technology program at the Jet Propulsion Laboratory to develop enabling technologies for future flight missions at affordable cost. The cost constraints mandate the use of commercial-off-the-shelf (COTS) components and standards in the X2000 multi-mission avionics system architecture. The X2000 has selected two commercial bus standards, the IEEE 1394 and I<sup>2</sup>C, as the avionics system buses. These two buses work together to provide the performance, scalability, low power consumption, and fault tolerance required by long life deep space missions. We report our approach to implementing a fault-tolerant bus architecture for the X2000 avionics system using these two COTS buses. The system approach is described first. Then, the focus of the rest of the discussion is on the implementation of two ASICs, digital I/O and mixed signal I/O ASICs, which are the key components of this COTS based fault-tolerant bus architecture",no
8897,Software fault tolerance of distributed programs using computation slicing,"Writing correct distributed programs is hard. In spite of extensive testing and debugging, software faults persist even in commercial grade software. Many distributed systems, especially those employed in safety-critical environments, should be able to operate properly even in the presence of software faults. Monitoring the execution of a distributed system, and, on detecting a fault, initiating the appropriate corrective action is an important way to tolerate such faults. This gives rise to the predicate detection problem which involves finding a consistent cut of a distributed computation, if it exists, that satisfies the given global predicate. Detecting a predicate in a computation is, however, an NP-complete problem. To ameliorate the associated combinatorial explosion problem, we introduce the notion of computation slice in our earlier papers [5, 10]. Intuitively, slice is a concise representation of those consistent cuts that satisfy a certain condition. To detect a predicate, rather than searching the state-space of the computation, it is much more efficient to search the state-space of the slice. In this paper we provide efficient algorithms to compute the slice for several classes of predicates. Our experimental results demonstrate that slicing can lead to an exponential improvement over existing techniques in terms of lime and space.",no
