Document Title,Abstract,Year,PDF Link,label
A discourse on complexity of process models,"Complexity has undesirable effects on, among others, the correctness, maintainability, and understandability of business process models. Yet, measuring complexity of business process models is a rather new area of research with only a small number of contributions. In this paper, we survey findings from neighboring disciplines on how complexity can be measured. In particular, we gather insight from software engineering, cognitive science, and graph theory, and discuss in how far analogous metrics can be defined on business process models.",2006,,yes
Understanding the occurrence of errors in process models based on metrics,"Business process models play an important role for the management, design, and improvement of process organizations and process-aware information systems. Despite the extensive application of process modeling in practice, there are hardly empirical results available on quality aspects of process models. This paper aims to advance the understanding of this matter by analyzing the connection between formal errors (such as deadlocks) and a set of metrics that capture various structural and behavioral aspects of a process model. In particular, we discuss the theoretical connection between errors and metrics, and provide a comprehensive validation based on an extensive sample of EPC process models from practice. Furthermore, we investigate the capability of the metrics to predict errors in a second independent sample of models. The high explanatory power of the metrics has considerable consequences for the design of future modeling guidelines and modeling tools.",2007,,yes
What makes process models understandable?,"Despite that formal and informal quality aspects are of significant importance to business process modeling, there is only little empirical work reported on process model quality and its impact factors. In this paper we investigate understandability as a proxy for quality of process models and focus on its relations with personal and model characteristics. We used a questionnaire in classes at three European universities and generated several novel hypotheses from an exploratory data analysis. Furthermore, we interviewed practitioners to validate our findings. The results reveal that participants tend to exaggerate the differences in model understandability, that self-assessment of modeling competence appears to be invalid, and that the number of arcs in models has an important influence on understandability.",2007,,yes
Recommendation Based Process Modeling Support: Method and User Experience,"Although most workflow management systems nowadays offer graphical editors for process modeling, the learning curve is still too steep for users who are unexperienced in process modeling. 'File efficiency of users may decrease when starting process modeling with minimal expertise and no obvious modeling support. This paper describes the first contribution towards a theoretically sound and empirically validated analysis of a recommender-based modeling support who is geared towards both novices and expert users. The idea is to interpret process descriptions as tags which describe the intention of the process. This leads us to the notion of virtual documents or signatures. Based oil these signatures we provide a. search interface to process models stored in a repository. Additionally the user call invoke a, recommendation function during modeling time and the system automatically identifies and suggests relevant, process fragments. BY adding two additional criteria. the frequency of process reuse and structural correctness. we arrive at a full-fledged modeling support system, which provides an easy to use interface to the user while retaining a high fidelity to the user's modeling intentions. We validated our support, system with a user experiment, based on real-life process models and our prototype implementation.",2008,,yes
On a quest for good process models: The cross-connectivity metric,"Business process modeling is an important corporate activity, but the understanding of what constitutes good process models is rather limited. In this paper, we turn to the cognitive dimensions framework and identify the understanding of the structural relationship between any pair of model elements as a hard mental operation. Based on the weakest-link metaphor, we introduce the cross-connectivity metric that measures the strength of the links between process model elements. The definition of this new metric builds on the hypothesis that process models are easier understood and contain less errors if they have a high cross-connectivity. We undertake a thorough empirical evaluation to test this hypothesis and present our findings. The good performance of this novel metric underlines the importance of cognitive research for advancing the field of process model measurement.",2008,,yes
The impact of structuredness on error probability of process models,"Recent research has shown that business process models from practice suffer from several quality problems. In particular, the correctness of control flow has been analyzed for industry-scale collections of process models revealing high error rates. In the past, structuredness has been discussed as a guideline to avoid errors, first in research on programming, and later also in business process modeling. In this paper we investigate the importance of structuredness for process model correctness from an empirical perspective. We introduce definitions of two metrics that capture the degree of (un)structuredness of a process model. Then, we use the Event-driven Process Chain models of the SAP Reference Model for validating the capability of these metrics to predict error probability. Our findings support the importance of structuredness as a design principle for achieving correctness in process models.",2008,,yes
Influence factors of understanding business process models,"The increasing utilization of business process models both in business analysis and information systems development raises several issues regarding quality measures. In this context, this paper discusses understandability as a particular quality aspect and its connection with personal, model, and content related factors. We use an online survey to explore the ability of the model reader to draw correct conclusions from a set of process models. For the first group of the participants we used models with abstract activity labels (e.g. A, B, C) while the second group received the same models with illustrative labels such as ""check credit limit"". The results suggest that all three categories indeed have an impact on the understandability.",2008,,yes
Reducing the Cognitive Complexity of Business Process Models,"Current research on the quality of business process models mostly discusses the quality of a model mainly in terms of correctness of its behaviour. In this paper, we discuss another perspective: Because the main purpose of business process models is to be read and understood by humans, understandability is an important requirement. We present some patterns for improving the understandability by reducing the cognitive load. BY applying these patterns to a repository of almost 1000 models, we have been able to improve the comprehensibility of several models.",2009,10.1109/COGINF.2009.5250717,yes
Analysis and Validation of Control-Flow Complexity Measures with BPMN Process Models,"Evaluating the complexity of business processes during the early stages of their development, primarily during the process modelling phase, provides organizations and stakeholders with process models which are easier to understand and easier to maintain. This presents advantages when carrying out evolution tasks in process models - key activities, given the current competitive market. In this work, we present the use and validation of the CFC metric to evaluate the complexity of business processes modelled with BPMN. The complexity of processes is evaluated from a control-flow perspective. An empirical evaluation has been carried out in order to demonstrate that the CFC metric can be useful when applied to BPMN models, providing information about their ease of maintenance.",2009,,yes
Error Density Metrics for Business Process Model,"In this paper, metrics for business process model (BPM), are proposed, which are capable to measure the usability and effectiveness of BPMs. The proposed model is adapting error density metrics to BPMs by considering the similarities between the conceptual characteristics of BPMs and software products. We applied seven software metrics for evaluating quality of business processes/process models. Results show that our metrics help the organization to improve their process, as weighted measurements are indicators for unexpected situations/behaviour for business processes.",2009,,yes
Quality metrics for business process modeling,"Modeling business processes is vital when improving or automating existing business processes, documenting processes properly or comparing business processes. In addition, it is necessary to be able to evaluate the quality of a business process model, which in term requires a set of quality metrics. Most of the works proposed to evaluate business process models deal with quality by adapting software metrics. This is possible, because software products and business processes software are quite similar. Our contribution in this paper consists in adapting object oriented software metrics to business process models. This adaptation is based on correspondences which we establish between BPMN (Business Process Modeling Notation) concepts and object oriented concepts. By adapting object oriented metrics, we aim to obtain new metrics which give us more information about the complexity of business processes, cohesion between process tasks and coupling between process themselves.",2009,,yes
The Impact of Secondary Notation on Process Model Understanding,"Models of business processes are usually created and presented using some visual notation. In this way, one can express important activities, milestones, and actors of a process using interconnected graphical symbols. While it has been established for other types of models that their graphical layout is a factor in making sense of these, this aspect has not been investigated in the business process modeling area. This paper proposes a set of propositions about the effects of the secondary notation, which entails layout, on process model comprehension. While individual graphical readership and pattern recognition skills are known mediators in interpreting visual cues, these propositions take expertise into account. The goal of this paper is to lay the foundation of follow-up, empirical investigations to challenge these propositions.",2009,,yes
Granularity as a Cognitive Factor in the Effectiveness of Business Process Model Reuse,"Reusing design models is an attractive approach in business process modeling as modeling efficiency and quality of design outcomes may be significantly improved. However, reusing conceptual models is not a cost-free effort, but has to be carefully designed. While factors such as psychological anchoring and task-adequacy in reuse-based modeling tasks have been investigated, information granularity as a cognitive concept has not been at the center of empirical research yet. We hypothesize that business process granularity as a factor in design tasks under reuse has a significant impact on the effectiveness of resulting business process models. We test our hypothesis in a comparative study employing high and low granularities. The reusable processes provided were taken from widely accessible reference models for the telecommunication industry (enhanced Telecom Operations Map). First experimental results show that Recall in tasks involving coarser granularity is lower than in cases of finer granularity. These findings suggest that decision makers in business process management should be considerate with regard to the implementation of reuse mechanisms of different garanularities. We realize that due to our small sample size results are not statistically significant, but this preliminary run shows that it is ready for running on a larger scale.",2009,,yes
Advanced Social Features in a Recommendation System for Process Modeling,"Social software is known to stimulate the exchange and sharing of information among peers. This paper describes how all existing system that supports process builders in completing a business process call be enhanced with various social Features. In that way, it is easier for process modeler to become aware of new related content. They call use that content to create, update or extend process models that, they are building themselves. The proposed way of achieving this is to allow users to generate and modify personalized views oil the social networks they are part, of. Furthermore, this paper describes mechanisms for propagating relevant changes between peers in such social networks. The presented work is particularly relevant in the context of enterprises that have already built large repositories of process models.",2009,,yes
On a Study of Layout Aesthetics for Business Process Models Using BPMN,"As BPMN spreads among a constantly growing user group, it is indispensable to analyze the expectations of users towards the appearance of a BPMN model. The user groups are mostly inhomogeneous since users stem from different backgrounds, e.g. IT, managerial sciences or economics. It is conceivable that BPMN novices may have different issues compared to higher skilled modeling experts. When this large set of users starts modeling, the expectations considering the graphical outcome of the modeling process may differ significantly. In this work, we analyze layout preferences of user groups when modeling with BPMN. We present a set of layout criteria that are formalized and then confirmed by a user study. The conduction of the study reveals preferences of single user groups with respect to secondary notation and layout aesthetics. From our results, proposals for adaptions of software tools towards different BPMN users can be derived.",2010,,yes
Seven process modeling guidelines (7PMG),"Business process modeling is heavily applied in practice, but important quality issues have not been addressed thoroughly by research. A notorious problem is the low level of modeling competence that many casual modelers in process documentation projects have. Existing approaches towards model quality might be of benefit, but they suffer from at least one of the following problems. On the one hand, frameworks like SEQUAL and the Guidelines of Modeling are too abstract to be applicable for novices and non-experts in practice. On the other hand, there are collections of pragmatic hints that lack a sound research foundation. In this paper, we analyze existing research on relationships between model structure on the one hand and error probability and understanding on the other hand. As a synthesis we propose a set of seven process modeling guidelines (7PMG). Each of these guidelines builds on strong empirical insights, yet they are formulated to be intuitive to practitioners. Furthermore, we analyze how the guidelines are prioritized by industry experts. In this regard, the seven guidelines have the potential to serve as an important tool of knowledge transfer from academia into modeling practice. (C) 2009 Elsevier B.V. All rights reserved.",2010,10.1016/j.infsof.2009.08.004,yes
Activity labeling in process modeling: Empirical insights and recommendations,"Few studies have investigated the factors contributing to the successful practice of process modeling. In particular, studies that contribute to the act of developing process models that facilitate communication and understanding are scarce. Although the value of process models is not only dependent on the choice of graphical constructs but also on their annotation with textual labels, there has been hardly any work on the quality of these labels. Accordingly, the research presented in this paper examines activity labeling practices in process modeling. Based on empirical data from process modeling practice, we identify and discuss different labeling styles and their use in process modeling praxis. We perform a grammatical analysis of these styles and use data from an experiment with process modelers to examine a range of hypotheses about the usability of the different styles. Based on our findings, we suggest specific programs of research towards better tool support for labeling practices. Our work contributes to the emerging stream of research investigating the practice of process modeling and thereby contributes to the overall body of knowledge about conceptual modeling quality. (C) 2009 Elsevier B.V. All rights reserved.",2010,10.1016/j.is.2009.03.009,yes
Quality Assessment of Business Process Models Based on Thresholds,"Process improvement is recognized as the main benefit of process modelling initiatives. Quality considerations are important when conducting a process modelling project. While the early stage of business process design might not be the most expensive ones, they tend to have the highest impact on the benefits and costs of the implemented business processes. In this context, quality assurance of the models has become a significant objective. In particular, understandability and modifiability are quality attributes of special interest in order to facilitate the evolution of business models in a highly dynamic environment. These attributes can only be assessed a posteriori, so it is of central importance for quality management to identify significant predictors for them. A variety of structural metrics have recently been proposed, which are tailored to approximate these usage characteristics. The aim of this paper is to verify how understandable and modifiable BPMN models relate to these metrics by means of correlation and regression analyses. Based on the results we determine threshold values to distinguish different levels of process model quality. As such threshold values are missing in prior research, we expect to see strong implications of our approach on the design of modelling guidelines.",2010,,yes
Structuredness and its significance for correctness of process models,"Recent research has shown that business process models from practice suffer from several quality problems. In particular, the correctness of control flow has been analyzed for industry-scale collections of process models revealing that error ratios are surprisingly high. In the past the structuredness property has been discussed as a guideline to avoid errors, first in research on programming, and later also in business process modeling. In this paper we investigate the importance of structuredness for process model correctness from an empirical perspective. We introduce definitions of two metrics that quantify the (un)structuredness of a process model, the degree of structuredness and the unmatched connector count. Then, we use the event-driven process chain models of the SAP reference model for validating the capability of these metrics to predict error probability. Our findings clearly support the importance of structuredness as a design principle for achieving correctness in process models.",2010,10.1007/s10257-009-0120-x,yes
