Authors,Document Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,label,Other predictin,Page count,Cited by,DOI,PDF Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Zimmermann S., MÃ_ller M., Heinrich B.",Exposing and selling the use of web servicesâ€”an option to be considered in make-or-buy decision-making,2016,Decision Support Systems,89,,,28,40,no,,,,10.1016/j.dss.2016.06.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978906907&doi=10.1016%2fj.dss.2016.06.006&partnerID=40&md5=7061da2bb1078f1981731d4e1a7b5c4a,"Department of Information Systems, Production and Logistics Management, University of Innsbruck, UniversitÃ_tsstraÃŸe 15, Innsbruck, Austria; Department of Management Information Systems, University of Regensburg, UniversitÃ_tsstraÃŸe 31, Regensburg, Germany","Zimmermann, S., Department of Information Systems, Production and Logistics Management, University of Innsbruck, UniversitÃ_tsstraÃŸe 15, Innsbruck, Austria; MÃ_ller, M., Department of Information Systems, Production and Logistics Management, University of Innsbruck, UniversitÃ_tsstraÃŸe 15, Innsbruck, Austria; Heinrich, B., Department of Management Information Systems, University of Regensburg, UniversitÃ_tsstraÃŸe 31, Regensburg, Germany","The emergence of the web service market has enabled firms to choose between developing web services internally and purchasing them externally from web service providers. In general, these so-called make-or-buy decisions have been the object of intense debate in the IT outsourcing literature. However, characteristics of web services such as loose coupling and the current trend of digitalizing application interfaces enable new opportunities especially to non-software firms: when a firm decides to develop a web service internally (make-decision), it has the option of exposing and selling the use of this web service after its internal development (sell option). In this paper, we propose a normative approach for the valuation of such a sell option based on real option theory, taking into account the characteristics of web services. This approach enhances traditional make-or-buy approaches by additionally considering this sell option in decision-making. Our results are twofold: (I) the sell option has considerable impact on traditional make-or-buy decisions and makes the internal development of web services more attractive; (II) it is preferable to execute the sell option as soon as possible after completion of the internal development of the web service. Â© 2016 Elsevier B.V.",Make-or-buy decisions; Real option theory; Sell option; Web service market; Web services,Article,Scopus,2-s2.0-84978906907
"Zikos D., Ostwal D.",A Platform based on Multiple Regression to Estimate the Effect of in-Hospital Events on Total Charges,2016,"Proceedings - 2016 IEEE International Conference on Healthcare Informatics, ICHI 2016",,,7776391,403,408,no,,,,10.1109/ICHI.2016.72,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010304282&doi=10.1109%2fICHI.2016.72&partnerID=40&md5=73f5edabadef221db83ba4cc893359d1,"Department of Health Administration, Central Michigan University, Mt. Pleasant, MI, United States; Computer Science and Engineering Department, University of Texas at Arlington, Arlington, TX, United States","Zikos, D., Department of Health Administration, Central Michigan University, Mt. Pleasant, MI, United States; Ostwal, D., Computer Science and Engineering Department, University of Texas at Arlington, Arlington, TX, United States","Recently hospitals struggle to control the cost of care while maintaining optimal outcomes. To respond to this challenge, we developed an interactive web platform which utilizes a multiple linear regression model. The user can create and furthermore alter a clinical scenario, during a patient hospitalization to see the dynamic prediction of total charges, via interactive sessions. The R2 value of our model is 0.655 and the standard error of the estimate is 38,732. Predictors with high coefficient scores include the cardioverter implantation, mechanical ventilation, implant of pulsation balloon and hospital-acquired conditions such as staphylococcus aureus septicemia. Our findings indicate that (a) integration of predictive models into clinical decision support systems is feasible and use of regression methods provide direct feedback on the effect of any clinical practice to the in-hospital charges (b) medical claims data can provide a useful estimation of the in-hospital charges (c) hospital acquired conditions have significant impact on the in-hospital charges. Â© 2016 IEEE.",decision making; multiple linear regression; prediction; total charges,Conference Paper,Scopus,2-s2.0-85010304282
"Zhu B., Yu L.-A., Geng Z.-Q.",Cost estimation method based on parallel Monte Carlo simulation and market investigation for engineering construction project,2016,Cluster Computing,19,3,,1293,1308,no,,,,10.1007/s10586-016-0585-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976407611&doi=10.1007%2fs10586-016-0585-6&partnerID=40&md5=aa70248dbc6720a8f3137e2ad8e31f92,"College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China","Zhu, B., College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China; Yu, L.-A., College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China; Geng, Z.-Q., College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China","In this paper, a new cost estimation method based on parallel Monte Carlo simulation and market investigation for the chemical engineering construction project is proposed to consider both the uncertainties of cost estimation and market drivers. The critical items of exerting large impacts on the cost estimation are selected by the market investigation. Then important critical items are chosen by the sensitivity analysis based on the parallel Monte-Carlo simulation combining with the Likert scale method from critical items. The Relative Important Indices and Normalized Important Indices are obtained according to the discipline and procurement expertsâ€™ experience in the relative construction market. Then re-rankings of market drivers will be acted as guidelines for carrying out project cost simulations based on the parallel Monte-Carlo method, with inquired information of important critical items with more efficiency. An illustrative example in a petrochemical Engineering Procurement Construction contracting project in Saudi verified the validity and practicability of the proposed method. Â© 2016, Springer Science+Business Media New York.",Likert scale; Market drivers; Parallel Monte-Carlo simulation; Relative importance indices,Article,Scopus,2-s2.0-84976407611
"Zhou Z., Goh Y.M., Shen L.",Overview and Analysis of Ontology Studies Supporting Development of the Construction Industry,2016,Journal of Computing in Civil Engineering,30,6,4016026,,,no,,,1,10.1061/(ASCE)CP.1943-5487.0000594,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992217086&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000594&partnerID=40&md5=5ec5f002e31865699146067289d621d8,"Dept. of Management Science and Engineering, College of Economics and Management, Nanjing Univ. of Aeronautics and Astronautics, Nanjing, China; Dept. of Building, School of Design and Environment, National Univ. of Singapore, Singapore, Singapore","Zhou, Z., Dept. of Management Science and Engineering, College of Economics and Management, Nanjing Univ. of Aeronautics and Astronautics, Nanjing, China; Goh, Y.M., Dept. of Building, School of Design and Environment, National Univ. of Singapore, Singapore, Singapore; Shen, L., Dept. of Building, School of Design and Environment, National Univ. of Singapore, Singapore, Singapore","Being information-intensive, the construction industry has the feature of multiagents, including multiparticipants from different disciplines, multiprocesses with a long-span timeline, and multidocuments generated by various systems. The multistakeholder context of the construction industry creates problems such as poor information interoperability and low productivity arising from difficulties in information reuse. Many researchers have explored the use of ontology to address these issues. This study aims to review ontology research to explore its trends, gaps, and opportunities in the construction industry. A systematic process employing three-phase search method, objective analysis and subjective analysis, helps to provide enough potential articles related to construction ontology research, and to reduce arbitrariness and subjectivity involved in research topic analysis. As a result, three main research topics aligned with the ontology development lifecycle were derived as follows: information integration based on ontology, ontology building, and ontology application. In addition, research gaps and the corresponding research agenda were identified. This detailed review provides the basis for further studies on the use of ontology in the construction industry. The research trends and gaps can serve as motivation for researchers and practitioners to work on the next generation of ontology studies to support the development of the construction industry. Â© 2016 American Society of Civil Engineers.",Cluster analysis; Construction industry; Information interoperability; Knowledge representation; Ontology; Semantic web; Word cloud,Article,Scopus,2-s2.0-84992217086
"Zhou X., Xue X., Fan Y., Ren J.",I/Q imbalance estimation in OFDM systems,2015,"Proceedings - 2015 IEEE 11th International Conference on ASIC, ASICON 2015",,,7517192,,,no,,,,10.1109/ASICON.2015.7517192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982244598&doi=10.1109%2fASICON.2015.7517192&partnerID=40&md5=7562924d94c46cf808f08f8d5d7af6a7,"State-Key Laboratory of ASIC and System, Fudan University, Shanghai, China","Zhou, X., State-Key Laboratory of ASIC and System, Fudan University, Shanghai, China; Xue, X., State-Key Laboratory of ASIC and System, Fudan University, Shanghai, China; Fan, Y., State-Key Laboratory of ASIC and System, Fudan University, Shanghai, China; Ren, J., State-Key Laboratory of ASIC and System, Fudan University, Shanghai, China","The paper proposes a new algorithm for I/Q imbalance estimation of multi-band orthogonal frequency division multiplexing (MB-OFDM) Ultra-wideband (UWB) systems in the presence of Carrier Frequency Offset (CFO) and Sample Frequency Offset (SFO). The proposed algorithm has a low complexity and is robust to both Frequency Dependent I/Q Mismatch (F-D I/Q-M) and Frequency Independent I/Q Mismatch (F-I I/Q-M). Through numerical simulation, the algorithem achieves a 9% lower PER compared to non-compensation condition in 10dB SNR condition and is shown to outperform conventional appoaches. Â© 2015 IEEE.",,Conference Paper,Scopus,2-s2.0-84982244598
"Zhou J., Fan J., Jia J.",A cost-efficient resource provisioning algorithm for DHT-based cloud storage systems,2016,Concurrency Computation ,28,18,,4485,4506,no,,,,10.1002/cpe.3795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959185906&doi=10.1002%2fcpe.3795&partnerID=40&md5=e8acf5c26898a164551c905fffc06545,"School of Computer Science and Technology, Soochow University, Suzhou, China","Zhou, J., School of Computer Science and Technology, Soochow University, Suzhou, China; Fan, J., School of Computer Science and Technology, Soochow University, Suzhou, China; Jia, J., School of Computer Science and Technology, Soochow University, Suzhou, China","Personal cloud storage provides users with convenient data access services. Service providers build distributed storage systems by utilizing cloud resources with distributed hash table (DHT), so as to enhance system scalability. Efficient resource provisioning could not only guarantee service performance, but help providers to save cost. However, the interactions among servers in a DHT-based cloud storage system depend on the routing process, which makes its execution logic more complicated than traditional multi-tier applications. In addition, production data centers often comprise heterogeneous machines with different capacities. Few studies have fully considered the heterogeneity of cloud resources, which brings new challenges to resource provisioning. To address these challenges, this paper presents a novel resource provisioning model for service providers. The model utilizes queuing network for analysis of both service performance and cost estimation. Then, the problem is defined as a cost optimization with performance constraints. We propose a cost-efficient algorithm to decompose the original problem into a sub-optimization one. Furthermore, we implement a prototype system on top of an infrastructure platform built with OpenStack. It has been deployed in our campus network. Based on real-world traces collected from our system and Dropbox, we validate the efficiency of our proposed algorithms by extensive experiments. Copyright Â© 2016 John Wiley & Sons, Ltd. Copyright Â© 2016 John Wiley & Sons, Ltd.",cloud storage; data access services; queuing network; resource provisioning,Article,Scopus,2-s2.0-84959185906
"Zhou G., Bastani F., Zhu W., Yen I.-L.",A self-stabilizing algorithm for the foraging problem in swarm robotic systems,2016,IEEE International Conference on Intelligent Robots and Systems,2016-November,,7759450,2907,2912,no,,,,10.1109/IROS.2016.7759450,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006455451&doi=10.1109%2fIROS.2016.7759450&partnerID=40&md5=ae038ebacd32277e2c8507ae5b33c679,"Department of Computer Science, University of Texas at Dallas, Richardson, TX, United States","Zhou, G., Department of Computer Science, University of Texas at Dallas, Richardson, TX, United States; Bastani, F., Department of Computer Science, University of Texas at Dallas, Richardson, TX, United States; Zhu, W., Department of Computer Science, University of Texas at Dallas, Richardson, TX, United States; Yen, I.-L., Department of Computer Science, University of Texas at Dallas, Richardson, TX, United States","The foraging problem, which evolved from ants finding food and delivering them to the nest, is for a swarm of robots to transport objects from a source to a destination. To avoid collision of robots or congestions, object transportation is generally conducted in a pipelining manner. Existing solutions towards the foraging problem either have performance problems or cannot tolerate failures. We present a self-stabilizing solution for the swarm robotic system to form a pipeline structure to transport objects and achieve the foraging task. In this paper, we first define the stable state for the swarm, which includes two requirements: (I) the robots operate in non-overlapping regions, i.e., transport objects in a pipeline structure and (2) the transportation rate of the system is optimal. Then, we introduce our self-stabilizing algorithm for the foraging problem and prove its convergence and the correctness of its convergence properties. Due to the self-stabilization nature, our solution is decentralized and fault tolerant. The swarm can achieve the foraging task as long as there is at least one working robot. Due to the definition of the stable state, our swarm system, when converged, can achieve optimal performance. We conduct simulations to evaluate the effectiveness of our algorithm, and the experimental results show that from any state, our algorithm can converge very quickly to reach the stable state and provide optimal performance for object transportation. Â© 2016 IEEE.",Foraging problem; Object transportation; Self-stabilization; Swarm robotic systems; Task partitioning,Conference Paper,Scopus,2-s2.0-85006455451
"Zheng Y.-J., Zhang B., Xue J.-Y.",Selection of key software components for formal development using water wave optimization,2016,Ruan Jian Xue Bao/Journal of Software,27,4,,933,942,no,,,,10.13328/j.cnki.jos.004964,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965172531&doi=10.13328%2fj.cnki.jos.004964&partnerID=40&md5=52c611989710f32aaf30a6dbf84f62a4,"College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; Jiangxi Provincial Key Laboratory of High Performance Computing, Jiangxi Normal University, Nanchang, China","Zheng, Y.-J., College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China, Jiangxi Provincial Key Laboratory of High Performance Computing, Jiangxi Normal University, Nanchang, China; Zhang, B., College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; Xue, J.-Y., Jiangxi Provincial Key Laboratory of High Performance Computing, Jiangxi Normal University, Nanchang, China","Formal methods contribute to the fundamental improvement of software quality and reliability, but this methodology is often very expensive. A compromise is to select and apply formal methods to only a subset of key components of the software system. However, currently there are few effective approaches for such selection process. This paper proposes a 0-1 constrained programming model for selecting key components for formal development, which enables the use of metaheuristic search methods to effectively solve the selection problem. The paper also designs a discrete water wave optimization (WWO) algorithm for the problem. The application to a large-scale software system validates the effectiveness of the proposed problem model, and demonstrates that the WWO algorithm outperforms some other typical metaheuristic search methods. Â© Copyright 2016, Institute of Software, the Chinese Academy of Sciences. All rights reserved.",Formal method; Metaheuristic search method; Reliability; Water wave optimization (WWO),Article,Scopus,2-s2.0-84965172531
Zheng Y.,Estimating quality of the construction engineering project using fuzzy AHP approach,2016,"Proceedings - 2016 International Conference on Smart Grid and Electrical Automation, ICSGEA 2016",,,7733807,98,101,no,,,,10.1109/ICSGEA.2016.65,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007001309&doi=10.1109%2fICSGEA.2016.65&partnerID=40&md5=cb0272d757cceb996165b7546424a51e,"Tibet Vocational Technical College, Lhasa, China","Zheng, Y., Tibet Vocational Technical College, Lhasa, China","As improving the quality of the construction engineering project is very important for construction industry, in this paper, we propose a fuzzy AHP based approach to evaluate the construction engineering project quality. To cover all influencing factors of the proposed problem, three parts are contained, including 1) Building safety performance, 2) Building utilization function and 3) Construction environment quality. Afterwards, we utilize fuzzy numbers in fuzzy AHP to replace the exact numbers in AHP, and then present a fuzzy AHP based construction engineering project quality evaluation approach. In the end, we design an experiment to test the performance of the proposed approach. Particularly, for each project, we construct a vector with 16 dimensions, in which each dimension is corresponding to an index in the index system. Â© 2016 IEEE.",Construction engineering project; Fuzzy analytic hierarchy process; Index system; Triangular fuzzy number,Conference Paper,Scopus,2-s2.0-85007001309
"Zhao Q., Li Y., Hei X., Wang X.",Toward automatic calculation of construction quantity based on building information modeling,2015,"Proceedings - 2015 11th International Conference on Computational Intelligence and Security, CIS 2015",,,7397136,482,485,no,,,,10.1109/CIS.2015.122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964426456&doi=10.1109%2fCIS.2015.122&partnerID=40&md5=f6954fcfa16132261f1f995566c31b03,"School of Civil Engineering and Architecture, Xi'an University of Technology, Xi'an, China; School of Computer Science and Engineering, Xi'an University of Technology, Xi'an, China","Zhao, Q., School of Civil Engineering and Architecture, Xi'an University of Technology, Xi'an, China; Li, Y., School of Civil Engineering and Architecture, Xi'an University of Technology, Xi'an, China; Hei, X., School of Computer Science and Engineering, Xi'an University of Technology, Xi'an, China; Wang, X., School of Civil Engineering and Architecture, Xi'an University of Technology, Xi'an, China","The application of BIM (Building Information Modeling) technology in practical engineering becomes more and more frequent. The current research on quantity calculation based on BIM discusses the cost estimation of the building projects. There are few methods that can query construction quantity during the design process which facilitates the designer to modify the relevant data at any time. In view of the present situation, this paper describes a calculation construction method on Revit platform, which is one of currently the most popular BIM modeling platform. The effectiveness and disadvantages of the approach are analyzed through a practical engineering example. With this method, designers can get real-Time quantity in the design process in any time, and the design results can be checked and updated automatically based on statistics result of engineering quantity when necessary. Â© 2015 IEEE.",BIM; Engineering quantity calculation; Revit,Conference Paper,Scopus,2-s2.0-84964426456
