Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,label,Issue Date,Meeting Date,Publisher,Document Identifier
2D-CHI: a tunable two-dimensional class hierarchy index for object-oriented databases,Jong-Hak Lee; Kyu-Young Whang; Wook-Shin Han; Wan-Sup Cho; Il-Yeol Song,"Dept. of Comput. Sci., Catholic Univ. of Taegu-Hyosung, South Korea",Proceedings 24th Annual International Computer Software and Applications Conference. COMPSAC2000,20020806,2000,,,598,607,"We present a tunable two-dimensional class hierarchy indexing technique (2D-CHI) for object-oriented databases. We use a two-dimensional file organization as the index structure. 2D-CHI deals with the problem of clustering objects in a two-dimensional domain space consisting of the key attribute domain and the class identifier domain. In conventional class indexing techniques using one-dimensional index structures such as the B<sup>+</sup>-tree, the clustering property is exclusively owned by one attribute. These indexing techniques do not efficiently handle the queries that address both the attribute keys and the class identifiers. 2D-CHI enhances query performance by adjusting the degree of clustering between the key value domain and the class identifier domain based on the precollected usage pattern. For performance evaluation, we first compare 2D-CHI with the conventional class indexing techniques using an analytic cost model based on the assumption of uniform object distribution, and then verify the cost model through experiments using the multilevel grid file as the two-dimensional index. We further perform experiments with nonuniform object distributions. Our experiments show that our proposed method does indeed build optimal class index structures regardless of query types and object distributions. We strongly believe that our paper significantly contributes to building a self-tunable database system by supporting automatically tunable index structure",0730-3157;07303157,POD:0-7695-0792-1,10.1109/CMPSAC.2000.884786,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=884786,,Buildings;Computer science;Costs;Indexes;Indexing;Management information systems;Object oriented databases;Object oriented modeling;Performance analysis;Relational databases,database indexing;file organisation;object-oriented databases;query processing;software performance evaluation,2D-CHI;B+ tree;analytic cost model;class identifier;class indexing;experiments;key attribute;multilevel grid file;nonuniform object distribution;object clustering;object-oriented databases;performance evaluation;query performance;tunable 2D class hierarchy index;tunable two-dimensional class hierarchy index;two-dimensional file organization;uniform object distribution,,0,1,14,,no,2000,25 Oct 2000-27 Oct 2000,IEEE,IEEE Conference Publications
A chemical reaction hysteresis model for magnetic materials,A. Nourdine; A. Kedous-Lebouc; G. Meunier; T. Chevalier,"Lab. d'Electrotech. de Grenoble, CNRS, St. Martin d'Heres, France",IEEE Transactions on Magnetics,20020806,2000,36,4,1230,1233,"The authors present a new static hysteresis model for magnetic materials based on physical meaning. The idea is original: electronic transformation of the material is compared to a chemical reaction. Then a simple analytic formulation of the B(H) law for GO iron sheet in the rolling direction is obtained. Results are compared with measurements. The model is as simple as the Potter one, its parameters can be easily determined and its accuracy could compete with the Preisach model. Finally an easy computation by finite element software is gained",0018-9464;00189464,,10.1109/20.877662,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=877662,,Analytical models;Chemicals;Iron;Magnetic analysis;Magnetic domain walls;Magnetic hysteresis;Magnetic materials;Magnetization;Protons;Thermodynamics,finite element analysis;iron;magnetic hysteresis;modelling;reaction kinetics theory;rolling;texture,B(H) law;Fe;GO iron sheet;Goss texture;analytic formulation;chemical reaction hysteresis model;easy computation;electronic transformation;finite element software;magnetic materials;rolling direction;static hysteresis model,,4,,16,,no,Jul-00,,IEEE,IEEE Journals & Magazines
A decision-analytic stopping rule for validation of commercial software systems,T. Chavez,"Rapt Technol. Corp., San Francisco, CA",IEEE Transactions on Software Engineering,20020806,2000,26,9,907,918,"The decision of when to release a software product commercially is not a question of when the software has attained some objectively justifiable degree of correctness. It is, rather, a question of whether the software achieves a reasonable balance among engineering objectives, market demand, customer requirements, and marketing directives of the software organization. We present a rigorous framework for addressing this important decision. Conjugate distributions from statistical decision theory provide an attractive means of modeling the cost and rate of bugs given information acquired during software testing, as well as prior information provided by software engineers about the fidelity of the software before testing begins. In contrast to other methods, the stopping analysis yields a computationally simple rule for deciding when to release a commercial software product based on information revealed to engineers during software testing-complicated numerical procedures are not needed. Our method has the added benefits that it is sequential: it measures explicitly the costs of customer dissatisfaction associated with bugs as well as the costs of declining market position while the testing process continues; and it incorporates a practical framework for cost-criticality assessment that makes sense to professional software developers",0098-5589;00985589,,10.1109/32.877849,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=877849,,Business;Computer bugs;Costs;Decision theory;Design engineering;Engineering management;Programming;Software systems;Software testing;Software tools,formal verification;program debugging;program testing;software development management,bugs;commercial software system validation;conjugate distributions;cost-criticality assessment;customer dissatisfaction;customer requirements;decision-analytic stopping rule;declining market position;engineering objectives;market demand;marketing directives;professional software developers;software organization;software testing;statistical decision theory,,11,,20,,no,Sep-00,,IEEE,IEEE Journals & Magazines
A frequency spectrum model of the intermodulation products generated by paging transmitters,Li Jianyu; Hu Shouming,,"Environmental Electromagnetics, 2000. CEEM 2000. Proceedings. Asia-Pacific Conference on",20020806,2000,,,285,291,"The present paper presents a frequency spectrum model analytic method of the intermodulation products generated by paging transmitters. A frequency spectrum model and its simulation frequency spectrum of nineteen intermodulation products, which are generated by different kinds of paging transmitters, are shown. All these above could be used by the spectrum manager to identify the intermodulation interference. They could also be used to distinguish the interfering signals with the help of computer assisted software of searching interference",,POD:7-5635-0420-6,10.1109/CEEM.2000.853950,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=853950,,Computational modeling;Frequency domain analysis;Frequency shift keying;Interference;Low pass filters;Power amplifiers;Power harmonic filters;Signal analysis;Signal generators;Transmitters,intermodulation;paging communication;radiofrequency interference,EMI;frequency spectrum model;interfering signals;intermodulation interference;intermodulation products;paging transmitters;simulation frequency spectrum;spectrum manager,,0,,3,,no,2000,03 May 2000-07 May 2000,IEEE,IEEE Conference Publications
A method for 3D analysis of upper extremity kinematics applied to a case study of brachial plexus birth palsy,G. Rab; K. Petuskey; A. Bagley,"Motion Anal. Lab., Shriners Hosp. for Children, Sacramento, CA, USA",Pediatric Gait: A New Millennium in Clinical Care and Motion Analysis Technology,20020806,2000,,,202,209,"Kinematic analysis of the upper extremity has been conducted using a wide variety of techniques, philosophies, and analytic methods. The authors propose a simple, surface marker model, using three-dimensional video recording, that borrows concepts from lower extremity kinematic analysis. A sequential order about orthogonal axes is described (Eulerian) to generate sagittal, coronal and transverse plane motion. The technique is applied to a child with brachial plexus birth palsy pre- and postoperatively",,POD:0-7803-6469-4,10.1109/PG.2000.858899,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=858899,,Bismuth;Brachytherapy;Computer aided software engineering;Extremities;Kinematics;Laboratories;Motion analysis;Muscles;Shoulder;Surgery,gait analysis;kinematics;paediatrics;video recording,3D analysis method;brachial plexus birth palsy;child;coronal motion;orthogonal axes;sagittal motion;simple surface marker model;three-dimensional video recording;transverse plane motion;upper extremity kinematics,,0,,17,,no,2000,,IEEE,IEEE Conference Publications
A method for design and performance modeling of client/server systems,D. A. Menasce; H. Gomaa,"Dept. of Comput. Sci., George Mason Univ., Fairfax, VA, USA",IEEE Transactions on Software Engineering,20020806,2000,26,11,1066,1085,"Designing complex distributed client/server applications that meet performance requirements may prove extremely difficult in practice if software developers are not willing or do not have the time to help software performance analysts. The paper advocates the need to integrate both design and performance modeling activities so that one can help the other. We present a method developed and used by the authors in the design of a fairly large and complex client/server application. The method is based on a software performance engineering language developed by one of the authors. Use cases were developed and mapped to a performance modeling specification using the language. A compiler for the language generates an analytic performance model for the system. Service demand parameters at servers, storage boxes, and networks are derived by the compiler from the system specification. A detailed model of DBMS query optimizers allows the compiler to estimate the number of I/Os and CPU time for SQL statements. The paper concludes with some results of the application that prompted the development of the method and language.",0098-5589;00985589,,10.1109/32.881718,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=881718,,Application software;Computer Society;Costs;Databases;Design methodology;Mission critical systems;Network servers;Performance analysis;Software performance;Unified modeling language,client-server systems;formal specification;program compilers;query processing;software performance evaluation,CPU time;DBMS query optimizers;SQL statements;analytic performance model;client/server systems design;compiler;distributed client/server applications;performance modeling;performance modeling activities;performance modeling specification;performance requirements;service demand parameters;software developers;software performance analysts;software performance engineering language;storage boxes;system specification;use cases,,31,1,46,,no,Nov-00,,IEEE,IEEE Journals & Magazines
An analytic approach to pheromone-based coordination,S. A. Brueckner,"ERIM Center for Electron Commerce, Ann Arbor, MI, USA",Proceedings Fourth International Conference on MultiAgent Systems,20020806,2000,,,369,370,"Stigmergetic coordination of large numbers of simple agents in natural agent systems yields complex and stable coordinated system-level behavior. The Pheromone Infrastructure, an enhancement of the runtime environment of software agent systems, supports the use of stigmergetic coordination mechanisms in synthetic ecosystems. This paper discusses how such mechanisms may be tuned and evaluated, employing a formal representation of the processes in the Pheromone Infrastructure",,POD:0-7695-0625-9,10.1109/ICMAS.2000.858479,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=858479,,Difference equations;Ecosystems;Electrical capacitance tomography;Electronic commerce;Emulation;Insects;Multiagent systems;Runtime environment;Software agents,living systems;multi-agent systems,Pheromone Infrastructure;multi agent systems;natural agent systems;pheromone-based coordination;runtime environment;software agent;stigmergetic coordination;synthetic ecosystems,,0,4,4,,no,2000,10 Jul 2000-12 Jul 2000,IEEE,IEEE Conference Publications
"Analytic performance model for speculative, synchronous, discrete-event simulation",B. L. Noble; R. D. Chamberlain,"Dept. of Electr. & Comput. Eng., Southern Illinois Univ., Edwardsville, IL, USA",Proceedings Fourteenth Workshop on Parallel and Distributed Simulation,20020806,2000,,,35,44,"Performance models exist that reliably describe the execution time and efficiency of parallel discrete-event simulations executed in a synchronous iterative fashion. These performance models incorporate the effects of processor heterogeneity, other processor load due to shared computational resources, application workload imbalance, and the use of speculative computation. This includes modeling the effects of predictive optimism, a technique for improving the accuracy of speculative assumptions. We extend these models to incorporate correlated workloads across the set of processors and validate the models with two different applications",,POD:0-7695-0677-1,10.1109/PADS.2000.847142,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=847142,,Computational modeling;Computer applications;Concurrent computing;Discrete event simulation;Iterative algorithms;Logic;Parallel processing;Performance analysis;Predictive models;Very large scale integration,discrete event simulation;parallel programming;software performance evaluation,analytic performance model;application workload imbalance;correlated workloads;parallel discrete-event simulations;predictive optimism;processor heterogeneity;processor load;shared computational resources;speculative synchronous discrete-event simulation;synchronous iteration,,3,,22,,no,2000,28 May 2000-31 May 2000,IEEE,IEEE Conference Publications
Cephalometric Downs' analysis. A mathematical framework,A. Reddy; A. Manju; B. Muthukumaran; C. Kulkarni; A. Nandakumar,"Dept. of Electr. & Electrn. Eng., Sri Venkateswara Coll. of Eng., Pennalur, India",WCC 2000 - ICSP 2000. 2000 5th International Conference on Signal Processing Proceedings. 16th World Computer Congress 2000,20020806,2000,1,,103,106 vol.1,Cephalometric procedure for craniofacial analysis is a very important procedure in orthodontics. Downs' analysis involves tedious geometric and analytic manual calculations to be performed on the X-ray or tracing of the profile of a skull. In this paper we have attempted to emulate this manual operation by modeling the process and creating a software that automatically calculates the required measurements. The orthodontist loads the lateral cephalogram (ceph) and the co-ordinates or landmarks are identified using a mouse interface. The identified landmarks are passed as inputs for the diagnosis module. The standard values are maintained as a table. The calculated values are compared with the standards and appropriate inferences are displayed. The program is also a user friendly one,,POD:0-7803-5747-7,10.1109/ICOSP.2000.894454,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=894454,,Dentistry;Educational institutions;Hospitals;Manuals;Orbital calculations;Orthopedic surgery;Performance analysis;Skull;Software measurement;Teeth,dentistry;diagnostic radiography;medical image processing;orthopaedics,X-ray;cephalometric Downs analysis;co-ordinates identification;craniofacial analysis;diagnosis module;landmarks identification;lateral cephalogram;mouse interface;orthodontics;program;skull profile tracing;software,,2,,7,,no,2000,21 Aug 2000-25 Aug 2000,IEEE,IEEE Conference Publications
Design of discrete-time nonlinear observers,N. Kazantzis; C. Kravaris,"Dept. of Chem. Eng., Texas A&M Univ., College Station, TX, USA",Proceedings of the 2000 American Control Conference. ACC (IEEE Cat. No.00CH36334),20020806,2000,4,,2305,2310 vol.4,"Proposes an approach to the discrete-time nonlinear observer design problem. Based on the early ideas that influenced the development of the linear Luenberger observer, the proposed approach develops a nonlinear analogue. The formulation of the discrete-time nonlinear observer design problem is realized via a system of first-order linear functional equations, and a rather general set of necessary and sufficient conditions for solvability is derived using results from linear functional equation theory. The solution to the above system of linear functional equations can be proven to be locally analytic and this enables the development of a series solution method, that is easily programmable with the aid of a symbolic software package",0743-1619;07431619,POD:0-7803-5519-9,10.1109/ACC.2000.878591,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=878591,,Chemical engineering;Design methodology;Linear systems;Monitoring;Nonlinear equations;Nonlinear systems;Observers;Process control;Software packages;State estimation,discrete time systems;functional equations;matrix algebra;nonlinear systems;observers;series (mathematics);state-space methods,discrete-time nonlinear observers;first-order linear functional equations;linear Luenberger observer;necessary and sufficient conditions;series solution method,,4,,15,,no,2000,28 Jun 2000-30 Jun 2000,IEEE,IEEE Conference Publications
