Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"NQAR: Network Quality Aware Routing in Error-Prone Wireless Sensor Networks","EURASIP Journal on Wireless Communications and Networking","","2010","1","10.1155/2010/409724","Jaewon ChoiBaek-Young ChoiSejun SongKwang-Hui Lee","2009","http://link.springer.com/article/10.1155/2010/409724","Article"
"ESMRMB 2011, 28th Annual Scientific Meeting, Leipzig, Germany, 6-8 October: EPOSTM Posters / Paper Posters / Clinical Review Posters / Software Exhibits","Magnetic Resonance Materials in Physics, Biology and Medicine","","24","1","10.1007/s10334-011-0268-5","","2011","http://link.springer.com/article/10.1007/s10334-011-0268-5","Article"
"ESMRMB 2012, 29th Annual Scientific Meeting, Lisbon, Portugal, 4-6 October: EPOSTM Poster / Paper Poster / Clinical Review Poster / Software Exhibits","Magnetic Resonance Materials in Physics, Biology and Medicine","","25","1","10.1007/s10334-012-0324-9","","2012","http://link.springer.com/article/10.1007/s10334-012-0324-9","Article"
"Multi-instance learning for software quality estimation in object-oriented systems: a case study","Journal of Zhejiang University SCIENCE C","","11","2","10.1631/jzus.C0910084","Peng HuangJie Zhu","2010","http://link.springer.com/article/10.1631/jzus.C0910084","Article"
"Can reliable memory be composed of error-prone elements?","Automation and Remote Control","","74","10","10.1134/S0005117913100020","S. B. Shlosman","2013","http://link.springer.com/article/10.1134/S0005117913100020","Article"
"ESMRMB 2008 Congress, Valencia, Spain, 2–4 October: EPOSGäó Posters / Info-RESO","Magnetic Resonance Materials in Physics, Biology and Medicine","","21","1","10.1007/s10334-008-0126-2","","2008","http://link.springer.com/article/10.1007/s10334-008-0126-2","Article"
"ESMRMB 2009 Congress, Antalya, Turkey, 1–3 October: EPOS
                tm
               Posters / Paper Posters / Info-RESO","Magnetic Resonance Materials in Physics, Biology and Medicine","","22","1","10.1007/s10334-009-0178-y","","2009","http://link.springer.com/article/10.1007/s10334-009-0178-y","Article"
"A Segment-Based SACK Scheme for TCP Over the Error-Prone Links","Wireless Personal Communications","","61","2","10.1007/s11277-010-0028-2","Lin CuiXin CuiWoo Jin Lee","2011","http://link.springer.com/article/10.1007/s11277-010-0028-2","Article"
"Video-Object Oriented Biometrics Hiding for User Authentication under Error-Prone Transmissions","EURASIP Journal on Information Security","","2011","1","10.1155/2011/174945","Klimis NtalianisNicolas TsapatsoulisAthanasios Drigas","2011","http://link.springer.com/article/10.1155/2011/174945","Article"
"Mining software defect data to support software testing management","Applied Intelligence","","34","2","10.1007/s10489-009-0193-8","Rattikorn Hewett","2011","http://link.springer.com/article/10.1007/s10489-009-0193-8","Article"
