title$|$authors$|$year$|$citedCount$|$fulltext_url
Effect of object oriented refactorings on testability, error proneness and other maintainability attributes$|$Gyorgy Hegedus,Gyorgy Hrabovszki,Daniel Hegedus,Istvan Siket$|$2010$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1890700
Training on errors experiment to detect fault-prone software modules by spam filter$|$Osamu Mizuno,Tohru Kikuno$|$2007$|$10$|$http://dl.acm.org/ft_gateway.cfm?id=1287683
Software fault prediction for object oriented systems: a literature review$|$Ruchika Malhotra,Ankita Jain$|$2011$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2020991
Automatic capture of minimal, portable, and executable bug repros using AMPERe$|$Lyublena Antova,Konstantinos Krikellas,Florian M. Waas$|$2012$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=2304513
Are refactorings less error-prone than other changes?$|$Peter Weigerber,Stephan Diehl$|$2006$|$20$|$http://dl.acm.org/ft_gateway.cfm?id=1138011
Prioritizing software security fortification throughcode-level metrics$|$Michael Gegick,Laurie Williams,Jason Osborne,Mladen Vouk$|$2008$|$14$|$http://dl.acm.org/ft_gateway.cfm?id=1456370
Estimating software fault-proneness for tuning testing activities$|$Giovanni Denaro$|$2000$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=337592
Static analysis tools as early indicators of pre-release defect density$|$Nachiappan Nagappan,Thomas Ball$|$2005$|$57$|$http://dl.acm.org/ft_gateway.cfm?id=1062558
Adapting a fault prediction model to allow inter languagereuse$|$Shinya Watanabe,Haruhiko Kaiya,Kenji Kaijiri$|$2008$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=1370794
An extension of fault-prone filtering using precise training and a dynamic threshold$|$Hideaki Hata,Osamu Mizuno,Tohru Kikuno$|$2008$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1370772
An empirical evaluation of coupling metrics on aspect-oriented programs$|$Rachel Burrows,Fabiano Cutigi Ferrari,Alessandro Garcia,Francois Taiani$|$2010$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1809231
Predicting fault-prone modules based on metrics transitions$|$Yoshiki Higo,Kenji Murao,Shinji Kusumoto,Katsuro Inoue$|$2008$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1390820
Where the bugs are$|$Thomas J. Ostrand,Elaine J. Weyuker,Robert M. Bell$|$2004$|$67$|$http://dl.acm.org/ft_gateway.cfm?id=1007524
Effectiveness of refactoring metrics model to identify smelly and error prone classes in open source software$|$Satwinder Singh,K. S. Kahlon$|$2012$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=2108157
Comparing design and code metrics for software quality prediction$|$Yue Jiang,Bojan Cuki,Tim Menzies,Nick Bartlow$|$2008$|$18$|$http://dl.acm.org/ft_gateway.cfm?id=1370793
Throughput analysis of the ieee 802.11e edca on a noisy channel in unsaturated mode$|$Yoram Haddad,Gwendal Le Grand$|$2007$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1298234
Use of relative code churn measures to predict system defect density$|$Nachiappan Nagappan,Thomas Ball$|$2005$|$154$|$http://dl.acm.org/ft_gateway.cfm?id=1062514
Second ACM workshop on hot topics in software upgrades (HotSWUp 2009)$|$Tudor Dumitras,Iulian Neamtiu,Eli Tilevich$|$2009$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1639974
A JVM for soft-error-prone embedded systems$|$Isabella Stilkerich,Michael Strotz,Christoph Erhardt,Martin Hoffmann,Daniel Lohmann,Fabian Scheler,Wolfgang Schroder-Preikschat$|$2013$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=2465571
Interval quality: relating customer-perceived quality to process quality$|$Audris Mockus,David Weiss$|$2008$|$6$|$http://dl.acm.org/ft_gateway.cfm?id=1368190
Status report on JSR-305: annotations for software defect detection$|$David Hovemeyer,William Pugh$|$2007$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1297894
Comparing the fault-proneness of new and modified code: an industrial case study$|$Piotr Tomaszewski,Lars-Ola Damm$|$2006$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1159737
Efficient use of code coverage in large-scale software development$|$Yong Woo Kim$|$2003$|$10$|$http://dl.acm.org/ft_gateway.cfm?id=961347
Performance evaluation of the IEEE 802.15.4 multi-hop communications in error-prone wireless sensor networks$|$Muhammad Tariq,Martin Macuha,Yon-Jin Park,Takuro Sato$|$2011$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2069154
Detecting bug duplicate reports through local references$|$Tomi Prifti,Sean Banerjee,Bojan Cukic$|$2011$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=2020398
An empirical evaluation of fault-proneness models$|$Giovanni Denaro,Mauro Pezze$|$2002$|$50$|$http://dl.acm.org/ft_gateway.cfm?id=581371
Towards scalable reliability frameworks for error prone CMPs$|$Joseph Sloan,Rakesh Kumar$|$2009$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1629432
1st ACM workshop on hot topics in software upgrades (HotSWUp 2008)$|$Tudor Dumitras,Danny Dig,Iulian Neamtiu$|$2008$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1449877
Improving software documentation using textual entailment$|$Yasser Kotb,Takuya Katayama$|$2006$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1218796
Energy-aware checkpoint intervals in error-prone mobile networks$|$Sung-Hwa Lim,Se Won Lee,Byoung-Hoon Lee,Seongil Lee,Ho Woo Lee$|$2011$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2021235
Explaining software defects using topic models$|$Tse-Hsun Chen,Stephen W. Thomas,Meiyappan Nagappan,Ahmed E. Hassan$|$2012$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=2664476
Looking for bugs in all the right places$|$Robert M. Bell,Thomas J. Ostrand,Elaine J. Weyuker$|$2006$|$33$|$http://dl.acm.org/ft_gateway.cfm?id=1146246
Extracting useful computation from error-prone processors for streaming applications$|$Yavuz Yetim,Margaret Martonosi,Sharad Malik$|$2013$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=2485341
Application of support vector machine to predict fault prone classes$|$Yogesh Singh,Arvinder Kaur,Ruchika Malhotra$|$2009$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1457529
Automating algorithms for the identification of fault-prone files$|$Thomas J. Ostrand,Elaine J. Weyuker,Robert M. Bell$|$2007$|$28$|$http://dl.acm.org/ft_gateway.cfm?id=1273493
Predicting fault-prone components in a java legacy system$|$Erik Arisholm,Lionel C. Briand$|$2006$|$57$|$http://dl.acm.org/ft_gateway.cfm?id=1159738
Smell detection for eclipse$|$Arnab Bhattacharrya,Robert Fuhrer$|$2004$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1028677
Effectiveness of encapsulation and object-oriented metrics to refactor code and identify error prone classes using bad smells$|$Satwinder Singh,K. S. Kahlon$|$2011$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=2020994
Reliability prediction for fault-tolerant software architectures$|$Franz Brosch,Barbora Buhnova,Heiko Koziolek,Ralf Reussner$|$2011$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2000274
A hybrid faulty module prediction using association rule mining and logistic regression analysis$|$Yasutaka Kamei,Akito Monden,Shuji Morisaki,Ken-ichi Matsumoto$|$2008$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1414051
Can data transformation help in the detection of fault-prone modules?$|$Yue Jiang,Bojan Cukic,Tim Menzies$|$2008$|$14$|$http://dl.acm.org/ft_gateway.cfm?id=1390822
The distribution of faults in a large industrial software system$|$Thomas J. Ostrand,Elaine J. Weyuker$|$2002$|$75$|$http://dl.acm.org/ft_gateway.cfm?id=566181
Software engineering research: from cradle to grave$|$Elaine J. Weyuker$|$2007$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1287667
Fault detection and prediction in an open-source software project$|$Michael English,Chris Exton,Irene Rigon,Brendan Cleary$|$2009$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=1540462
Deriving models of software fault-proneness$|$Giovanni Denaro,Sandro Morasca,Mauro Pezze$|$2002$|$14$|$http://dl.acm.org/ft_gateway.cfm?id=568824
Testing polymorphism in object oriented systems for improving software quality$|$Dinesh Kumar Saini$|$2009$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1507212
An analysis of anti-micro-patterns effects on fault-proneness in large Java systems$|$Giuseppe Destefanis,Roberto Tonelli,Giulio Concas,Michele Marchesi$|$2012$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2231972
Feature-based detection of bugs in clones$|$Daniela Steidl,Nils Gode$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2662724
An exploratory study of fault-proneness in evolving aspect-oriented programs$|$Fabiano Ferrari,Rachel Burrows,Otavio Lemos,Alessandro Garcia,Eduardo Figueiredo,Nelio Cacho,Frederico Lopes,Nathalia Temudo,Liana Silva,Sergio Soares,Awais Rashid,Paulo Masiero,Thais Batista,Jose Maldonado$|$2010$|$19$|$http://dl.acm.org/ft_gateway.cfm?id=1806813
Programmer-based fault prediction$|$Thomas J. Ostrand,Elaine J. Weyuker,Robert M. Bell$|$2010$|$12$|$http://dl.acm.org/ft_gateway.cfm?id=1868357
Toward a Software Testing and Reliability Early Warning Metric Suite$|$Nachiappan Nagappan$|$2004$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=999407
Empirical study of Software Quality estimation$|$Inderpreet Kaur,Arvinder Kaur$|$2012$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2393332
Revisiting the problem of using problem reports for quality assessment$|$Parastooi Mohagheghi,Reidar Conradi,Jon Arvid Brretzen$|$2006$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=1137712
Organizational volatility and its effects on software defects$|$Audris Mockus$|$2010$|$19$|$http://dl.acm.org/ft_gateway.cfm?id=1882311
Mining student capstone projects with FRASR and ProM$|$Wouter Poncin,Alexander Serebrenik,Mark van den Brand$|$2011$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=2048181
Operating system reliability from the quality of experience viewpoint: an exploratory study$|$Rivalino Matias, Jr.,Geycy Dyany Oliveira,Lucio Borges de Araujo$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2480669
Do comments explain codes adequately?: investigation by text filtering$|$Yukinao Hirata,Osamu Mizuno$|$2011$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1985482
Evaluating the applicability of reliability prediction models between different software$|$Shin-ichi Sato,Akito Monden,Ken-ichi Matsumoto$|$2002$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=512057
Learning from bug-introducing changes to prevent fault prone code$|$Lerina Aversano,Luigi Cerulo,Concettina Del Grosso$|$2007$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=1294954
Can we predict types of code changes?: an empirical analysis$|$Emanuel Giger,Martin Pinzger,Harald C. Gall$|$2012$|$4$|$http://dl.acm.org/ft_gateway.cfm?id=2664480
Can we predict types of code changes?: an empirical analysis$|$Emanuel Giger,Martin Pinzger,Harald C. Gall$|$2012$|$4$|$http://dl.acm.org/ft_gateway.cfm?id=2664480
Modeling the Effect of Size on Defect Proneness for Open-Source Software$|$A. Gunes Koru,Dongsong Zhang,Hongfang Liu$|$2007$|$6$|$http://dl.acm.org/ft_gateway.cfm?id=1269058
Learning from bug-introducing changes to prevent fault prone code$|$Lerina Aversano,Luigi Cerulo,Concettina Del Grosso$|$2007$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=1294954
The impact of process maturity on defect density$|$Syed Muhammad Ali Shah,Maurizio Morisio,Marco Torchiano$|$2012$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2372308
Characterizing the roles of classes and their fault-proneness through change metrics$|$Maximilian Steff,Barbara Russo$|$2012$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2372261
Upload your program, share your model$|$Jens Dietrich$|$2012$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2384727
Modeling dynamics of agile software development$|$Lan Cao$|$2004$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1028690
Alitheia Core: An extensible software quality monitoring platform$|$Georgios Gousios,Diomidis Spinellis$|$2009$|$10$|$http://dl.acm.org/ft_gateway.cfm?id=1555078
