"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&",2016/07/08 15:38:52
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Characteristics of high-transmission-probability tunnel junctions for use as particle detectors","D. A. Stricker; G. P. Alba; C. C. Anderson; D. D. Bing; R. W. Bland; S. C. Dickson; T. G. Dignan; P. Gagnon; R. T. Johnson; C. M. Seneclauze","Dept. of Phys. & Astron., San Francisco State Univ., CA, USA","IEEE Transactions on Magnetics","20020806","1989","25","2","1343","1346","Interest in the problem of the galactic dark matter has stimulated development of particle detectors sensitive to very low energies. The authors describe superconducting tunnel junctions with thin barriers which may be suitable for this purpose. They present I-V (current-voltage) characteristics and data on the temperature dependence of the subgap tunneling current. They examine the barrier transmission probability and the resistance of the null junction. They also present some scanning-electron-microscope observations of the thin films of the tunnel junctions, which show that faster deposition produces smaller grains and increasing film thickness results in larger grains from an apparent fusing of smaller grains","0018-9464;00189464","","","10.1109/20.92544","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=92544","","Insulation;Josephson junctions;Plasma measurements;Radiation detectors;Strips;Superconducting films;Superconducting thin films;Tin;X-ray detection;X-ray detectors","grain size;particle detectors;scanning electron microscope examination of materials;superconducting junction devices;superconducting thin films;superconductive tunnelling","I-V characteristics;SEM;barrier transmission probability;galactic dark matter;grain size;high-transmission-probability tunnel junctions;null junction resistance;particle detectors;subgap tunnelling current;superconducting tunnel junctions;temperature dependence;thin barriers;very low energies","","0","","8","","","Mar 1989","","IEEE","IEEE Journals & Magazines"
"Indexing semi-structured documents for context-based information retrieval in a medical information system","F. Laforest; A. Tchounikine","Lab. d'Ingenierie des Syst. d'Inf., Inst. Nat. des Sci. Appliquees, Villeurbanne, France","Database and Expert Systems Applications, 1999. Proceedings. Tenth International Workshop on","20020806","1999","","","593","597","Most of the information retrieval models for documents are intended for SGML-like structured documents. In the context of medical informatics, the patient record document needs a looser structuration process as an a priori structure can hardly be defined. Thus we first propose an authoring tool that allows us to annotate embedded information, i.e. to give them a context, with qualifiers that are stored in a thesaurus rather than in SGML-like DTD. The retrieval process in the patient records collection takes into account the flexibility of the qualifying process while reformulating the queries","","0-7695-0281-4;0769502814","","10.1109/DEXA.1999.795252","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=795252","","Calculus;Diseases;Frequency;Indexing;Information retrieval;Medical diagnostic imaging;Medical information systems;Postal services;Text analysis;XML","authoring systems;database indexing;information retrieval;medical information systems;page description languages;thesauri","SGML-like DTD;SGML-like structured documents;a priori structure;authoring tool;context based information retrieval;embedded information;information retrieval models;medical informatics;medical information system;patient record document;patient records collection;qualifiers;qualifying process;retrieval process;semi-structured document indexing;structuration process","","1","","12","","","1999","01 Sep 1999-03 Sep 1999","IEEE","IEEE Conference Publications"
"Effects of Social Characters in Viral Propagation Seeding Strategies in Online Social Networks","A. Bonti; M. Li; L. Gao; W. Shi","Sch. of Inf. Technol., Deakin Univ., Melbourne, VIC, Australia","2012 IEEE 11th International Conference on Trust, Security and Privacy in Computing and Communications","20120906","2012","","","632","639","Online social networks have not only become a point of aggregation and exchange of information, they have so radically rooted into our everyday behaviors that they have become the target of important network attacks. We have seen an increasing trend in Sybil based activity, such as in personification, fake profiling and attempts to maliciously subvert the community stability in order to illegally create benefits for some individuals, such as online voting, and also from more classic informatics assaults using specifically mutated worms. Not only these attacks, in the latest months, we have seen an increase in spam activities on social networks such as Facebook and RenRen, and most importantly, the first attempts at propagating worms within these communities. What differentiates these attacks from normal network attacks, is that compared to anonymous and stealthy activities, or by commonly untrusted emails, social networks regain the ability to propagate within consentient users, who willingly accept to partake. In this paper, we will demonstrate the effects of influential nodes against non-influential nodes through in simulated scenarios and provide an overview and analysis of the outcomes.","2324-898X;2324898X","978-1-4673-2172-3;9781467321723","","10.1109/TrustCom.2012.5","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6296030","impersonifications;social networks;sybil;trust;trust transitivity","Communities;Entropy;Facebook;Grippers;Peer to peer computing;Security","invasive software;social aspects of automation;social networking (online);unsolicited e-mail","Facebook;RenRen;Sybil based activity;anonymous activities;fake profiling;informatics assaults;information aggregation;information exchange;mutated worms propagation;network attacks;normal network attacks;online social networks;online voting;social characters;spam activities;stealthy activities;untrusted emails;viral propagation seeding strategies","","0","","31","","","25-27 June 2012","","IEEE","IEEE Conference Publications"
"Impact of Scale-free Topologies on Gossiping in Ad Hoc Networks","B. Garbinato; D. Rochat; M. Tomassini","University of Lausanne, Switzerland","Sixth IEEE International Symposium on Network Computing and Applications (NCA 2007)","20070723","2007","","","269","272","We show that scale-free topologies have a positive impact on the performance of gossiping algorithms in peer-to-peer overlay networks. This result is important in the context of ad hoc networks, where each node participates in controlling the network topology. Our study shows that, when combined with such topologies, typical gossiping algorithms tend to require fewer messages and experience smaller latency than when combined with other topologies, such as rings or grids. This suggests that the topology control scheme should aim at producing an overlay network that exhibits scale-free characteristics.","","0-7695-2922-4;0769529224","","10.1109/NCA.2007.29","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4276633","","Ad hoc networks;Bluetooth;Communication system control;Delay;Distribution functions;Information systems;Network topology;Peer to peer computing;Protocols;Wireless sensor networks","ad hoc networks;telecommunication control;telecommunication network topology","ad hoc networks;gossiping algorithms;network topology;peer-to-peer overlay networks;scale-free topologies;topology control scheme","","5","","5","","","12-14 July 2007","","IEEE","IEEE Conference Publications"
"Phonon-mediated detection of X-rays in silicon crystals using superconducting transition edge phonon sensors","B. A. Young; B. Cabrera; A. T. Lee; C. J. Martoff; B. Neuhauser; J. P. McVittie","Dept. of Phys., Stanford Univ., CA, USA","IEEE Transactions on Magnetics","20020806","1989","25","2","1347","1350","The authors present data on the operation of thin-film superconducting strips of titanium as phonon sensors on the surface of silicon crystals. The superconducting films are biased at the foot of the resistive transition in temperature and below the critical latching current (the current above which a normal region in the film grows from self-heating). The interaction of an incident X-ray in the Si crystal generates a phonon source which propagates to the surface at the speed of sound. Such an event produces a several-microsecond-long self-terminating voltage pulse which is proportional to the amount of the sensor area driven normal. It is shown that these Ti superconducting transition edge sensors operated at 0.3 K have sufficient resolution for detecting particles with energy deposition above several keV, which makes them good candidates for use in neutrino (and other) experiments","0018-9464;00189464","","","10.1109/20.92545","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=92545","","Acoustic sensors;Crystals;Phonons;Semiconductor thin films;Silicon;Superconducting films;Superconducting thin films;Thin film sensors;X-ray detection;X-ray detectors","X-ray detection and measurement;elemental semiconductors;lattice phonons;neutrino detection and measurement;particle detectors;silicon;superconducting junction devices;superconducting thin films;titanium","Si crystal surface;Ti film;critical latching current;energy deposition;neutrino detection;particle detection;phonon mediated X-ray detection;phonon source;resistive transition;self-terminating voltage pulse;superconducting transition edge phonon sensors;thin-film superconducting strips","","1","2","4","","","Mar 1989","","IEEE","IEEE Journals & Magazines"
"An associative semantic model for text processing","A. Bassi","Dept. de Ciencias de la Comput., Chile Univ., Santiago","String Processing and Information Retrieval Symposium, 1999 and International Workshop on Groupware","20020806","1999","","","31","37","Natural language texts have an underlying structure that conveys an essential part of their information content. In order to better exploit text resources, this structure must be rendered explicit, which requires an automatic analysis based on local context and general world knowledge. The analysis must closely match the expectations of a typical reader. The paper presents a computational model that is able to emulate some fundamental aspects of human semantic processing and preference heuristics. It is based on a psycholinguistic motivated associative network that highlights the role of memory as a predictive context for the interpretation of natural language utterances","","0-7695-0268-7;0769502687","","10.1109/SPIRE.1999.796575","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=796575","","Computational linguistics;Computational modeling;Context modeling;Humans;Man machine systems;Natural language processing;Natural languages;Psychology;Testing;Text processing","associative processing;heuristic programming;linguistics;natural languages;psychology;text analysis","associative semantic model;automatic analysis;computational model;general world knowledge;human semantic processing;information content;local context;natural language texts;natural language utterance interpretation;predictive context;preference heuristics;psycholinguistic motivated associative network;text processing;text resources","","0","","17","","","1999","22 Sep 1999-24 Sep 1999","IEEE","IEEE Conference Publications"
"Information Security of IPsec-based Mobile VPN: Authentication and Encryption Algorithms Performance","A. V. Uskov","Dept. of Comput. Sci. & Inf. Syst., Bradley Univ., Peoria, IL, USA","2012 IEEE 11th International Conference on Trust, Security and Privacy in Computing and Communications","20120906","2012","","","1042","1048","Virtual Private Network (VPN) became one of the most reliable technologies to provide data security - protection, confidentiality, integrity, data origin authentication, replay protection and access control. Effectiveness of mobile VPN (MVPN) depends on multiple factors, including MVPN's selected architectural model, scheme model, topology model, levels of OSI model structure, authentication algorithms, encryption algorithms (ciphers), cipher operation modes, key management protocols, multiple parameters of security protocols, modes of operation and connection modes. This paper presents the outcomes of research project aimed at performance benchmarking of authentication and encryption algorithms for IPsec-based MVPNs.","2324-898X;2324898X","978-1-4673-2172-3;9781467321723","","10.1109/TrustCom.2012.187","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6296089","AH;ESP;IPsec;Mobile VPN;authentication algorithms;encryption algorithms;performance","Authentication;Benchmark testing;Encryption;Mobile communication;Virtual private networks","authorisation;benchmark testing;computer network performance evaluation;computer network security;cryptographic protocols;data integrity;data privacy;open systems;radio networks;telecommunication network topology;virtual private networks","IPsec-based mobile VPN;MVPN;OSI model structure levels;access control;architectural model;authentication algorithm performance benchmarking;cipher operation modes;connection modes;data confidentiality;data integrity;data origin authentication;data protection;data security;encryption algorithm performance benchmarking;information security protocol parameters;key management protocols;operation modes;replay protection;scheme model;topology model;virtual private network","","6","","","","","25-27 June 2012","","IEEE","IEEE Conference Publications"
"Enabling Skip Graphs to Process K-Dimensional Range Queries in a Mobile Sensor Network","G. J. Brault; C. J. Augeri; B. E. Mullins; R. O. Baldwin; C. B. Mayer","Air Force Institute of Technology, USA","Sixth IEEE International Symposium on Network Computing and Applications (NCA 2007)","20070723","2007","","","273","282","A skip graph is a resilient application-layer routing structure that supports range queries of distributed k-dimensional data. By sorting deterministic keys into groups based on locally computed random membership vectors, nodes in a standard skip graph can optimize range query performance in mobile networks such as unmanned aerial vehicle swarms. We propose a skip graph extension that inverts the key and membership vector roles and bases group membership on deterministic vectors derived from the z-ordering of k-dimensional data and sorting within groups is based on locally computed random keys.","","0-7695-2922-4;0769529224","","10.1109/NCA.2007.18","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4276634","","Computer networks;Force sensors;Interleaved codes;Military computing;Mobile computing;Multidimensional systems;Routing;Sorting;Temperature sensors;Unmanned aerial vehicles","graph theory;query processing;sorting;wireless sensor networks","application-layer routing structure;deterministic keys sorting;k-dimensional range queries;mobile sensor network;skip graphs","","2","","12","","","12-14 July 2007","","IEEE","IEEE Conference Publications"
"A neural network classifier for cyclostationary signals","B. F. Rice; S. R. Smith; R. A. Threlkeld","Lockheed Missiles & Space Co. Inc., Sunnyvale, CA, USA","Acoustics, Speech, and Signal Processing, 1994. ICASSP-94., 1994 IEEE International Conference on","20020806","1994","iv","","IV/165","IV/168 vol.4","A signal classifier based on features that measure cyclostationarity has been developed and tested on simulated signals. The results demonstrate that features that represent the “cyclostationary signature” of a signal can be be used to automatically categorize a wide variety of signal types. The signature consists of a vector of “structure coefficients” that are computed on the outputs of various non-linear transformations of the target signal. This approach can considerably simplify and shorten the development time of the classifier. It is necessary to precede the computation of the signature with rejection of narrowband interference. The decision logic for the classifier is implemented using the probabilistic neural network","1520-6149;15206149","0-7803-1775-0;0780317750","","10.1109/ICASSP.1994.389845","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=389845","","Amplitude modulation;Baseband;Frequency shift keying;Interference;Narrowband;Neural networks;Probabilistic logic;Pulse modulation;Quadrature amplitude modulation;Quadrature phase shift keying","interference (signal);neural nets;probabilistic logic;signal processing;spectral analysis","cyclostationary signals;cyclostationary signature;decision logic;development time;narrowband interference;neural network classifier;nonlinear transformations;probabilistic neural network;signal classifier;simulated signals","","1","","12","","","19-22 Apr 1994","19 Apr 1994-22 Apr 1994","IEEE","IEEE Conference Publications"
"An approach to sensor fault diagnosis based on fully-decoupled parity equation and parameter estimation","Song Hua; Zhang Hongyue","Dept. of Autom. Control, Beijing Univ. of Aeronaut. & Astronaut., China","Intelligent Control and Automation, 2002. Proceedings of the 4th World Congress on","20021107","2002","4","","2750","2754 vol.4","An approach for multiple sensor faults diagnosis is presented. Fully-decoupled parity equations and parameters estimation are combined in this method. The residual generated from a fully-decoupled parity equation is sensitive to a special sensor fault and decoupled from all other sensor faults. The faults in sensors are represented as biases and changes in scale factor. A parameter estimator based on a Kalman filter is designed to identify biases and changes in scale factor from the information contained in the residuals. The fully-decoupled parity vectors, which are designed to detect and isolate sensor faults, are generated in various conditions, and their existence condition is given. A simulation example on a linear airplane model is given for illustration.","","0-7803-7268-9;0780372689","","10.1109/WCICA.2002.1020022","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1020022","","Airplanes;Automation;Equations;Fault detection;Fault diagnosis;Intelligent control;Parameter estimation;Vectors","Kalman filters;aircraft control;fault diagnosis;matrix algebra;parameter estimation;sensors;vectors","Kalman filter;existence condition;faults isolation;fully-decoupled parity equation;fully-decoupled parity vectors;linear airplane model;parameter estimation;scale factor;sensor fault diagnosis","","2","","","","","2002","","IEEE","IEEE Conference Publications"
